cpt_code,cpt_description
62327,"Injection(s), including indwelling catheter placement, continuous infusion or intermittent bolus, of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, interlaminar"
62350,"Implantation, revision or repositioning of tunneled intrathecal or epidural catheter, for long-term medication administration via an external pump or implantable reservoir/infusion pump; without laminectomy"
62351,"Implantation, revision or repositioning of tunneled intrathecal or epidural catheter, for long-term medication administration via an external pump or implantable reservoir/infusion pump; with laminectomy"
62355,Removal of previously implanted intrathecal or epidural catheter
62360,Implantation or replacement of device for intrathecal or epidural drug infusion; subcutaneous reservoir
62361,Implantation or replacement of device for intrathecal or epidural drug infusion; nonprogrammable pump
62362,"Implantation or replacement of device for intrathecal or epidural drug infusion; programmable pump, including preparation of pump, with or without programming"
62365,"Removal of subcutaneous reservoir or pump, previously implanted for intrathecal or epidural infusion"
62367,"Electronic analysis of programmable, implanted pump for intrathecal or epidural drug infusion (includes evaluation of reservoir status, alarm status, drug prescription status); without reprogramming or refill"
62368,"Electronic analysis of programmable, implanted pump for intrathecal or epidural drug infusion (includes evaluation of reservoir status, alarm status, drug prescription status); with reprogramming"
62369,"Electronic analysis of programmable, implanted pump for intrathecal or epidural drug infusion (includes evaluation of reservoir status, alarm status, drug prescription status); with reprogramming and refill"
62370,"Electronic analysis of programmable, implanted pump for intrathecal or epidural drug infusion (includes evaluation of reservoir status, alarm status, drug prescription status); with reprogramming and refill (requiring skill of a physician or other qualifi"
62380,"Endoscopic decompression of spinal cord, nerve root(s), including laminotomy, partial facetectomy, foraminotomy, discectomy and/or excision of herniated intervertebral disc, 1 interspace, lumbar"
63001,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical"
63003,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; thoracic"
63005,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis"
63011,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; sacral"
63012,"Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)"
63015,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; cervical"
63016,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; thoracic"
63017,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; lumbar"
63020,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical"
63030,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar"
63035,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; each additional interspace, cervical or lumbar (List separately in addition to code for primar"
63040,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; cervical"
63042,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar"
63043,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; each additional cervical interspace (List separately in addi"
63044,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; each additional lumbar interspace (List separately in additi"
63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical"
63046,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; thoracic"
63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar"
63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional segment, cervical, thoracic, or lu"
63050,"Laminoplasty, cervical, with decompression of the spinal cord, 2 or more vertebral segments"
63051,"Laminoplasty, cervical, with decompression of the spinal cord, 2 or more vertebral segments; with reconstruction of the posterior bony elements (including the application of bridging bone graft and non-segmental fixation devices [eg, wire, suture, mini-pl"
63055,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; thoracic"
63056,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)"
63057,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; each additional segment, thoracic or lumbar (List separately in addition to code for primary procedure)"
63064,"Costovertebral approach with decompression of spinal cord or nerve root(s) (eg, herniated intervertebral disc), thoracic; single segment"
63066,"Costovertebral approach with decompression of spinal cord or nerve root(s) (eg, herniated intervertebral disc), thoracic; each additional segment (List separately in addition to code for primary procedure)"
63075,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; cervical, single interspace"
63076,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; cervical, each additional interspace (List separately in addition to code for primary procedure)"
63077,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; thoracic, single interspace"
63078,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; thoracic, each additional interspace (List separately in addition to code for primary procedure)"
63081,"Vertebral corpectomy (vertebral body resection), partial or complete, anterior approach with decompression of spinal cord and/or nerve root(s); cervical, single segment"
63082,"Vertebral corpectomy (vertebral body resection), partial or complete, anterior approach with decompression of spinal cord and/or nerve root(s); cervical, each additional segment (List separately in addition to code for primary procedure)"
63085,"Vertebral corpectomy (vertebral body resection), partial or complete, transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic, single segment"
63086,"Vertebral corpectomy (vertebral body resection), partial or complete, transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic, each additional segment (List separately in addition to code for primary procedure)"
63087,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; single segment"
63088,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; each additional segment (List separately in addition to code"
63090,"Vertebral corpectomy (vertebral body resection), partial or complete, transperitoneal or retroperitoneal approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic, lumbar, or sacral; single segment"
63091,"Vertebral corpectomy (vertebral body resection), partial or complete, transperitoneal or retroperitoneal approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic, lumbar, or sacral; each additional segment (List separately"
63101,"Vertebral corpectomy (vertebral body resection), partial or complete, lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg, for tumor or retropulsed bone fragments); thoracic, single segment"
63102,"Vertebral corpectomy (vertebral body resection), partial or complete, lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg, for tumor or retropulsed bone fragments); lumbar, single segment"
63103,"Vertebral corpectomy (vertebral body resection), partial or complete, lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg, for tumor or retropulsed bone fragments); thoracic or lumbar, each additional segment (List se"
63170,"Laminectomy with myelotomy (eg, Bischof or DREZ type), cervical, thoracic, or thoracolumbar"
63172,Laminectomy with drainage of intramedullary cyst/syrinx; to subarachnoid space
63173,Laminectomy with drainage of intramedullary cyst/syrinx; to peritoneal or pleural space
63185,Laminectomy with rhizotomy; 1 or 2 segments
63190,Laminectomy with rhizotomy; more than 2 segments
63191,Laminectomy with section of spinal accessory nerve
63194,"Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; cervical"
63195,"Laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage; thoracic"
63197,"Laminectomy with cordotomy, with section of both spinothalamic tracts, 1 stage; thoracic"
63200,"Laminectomy, with release of tethered spinal cord, lumbar"
63250,Laminectomy for excision or occlusion of arteriovenous malformation of spinal cord; cervical
63251,Laminectomy for excision or occlusion of arteriovenous malformation of spinal cord; thoracic
63252,Laminectomy for excision or occlusion of arteriovenous malformation of spinal cord; thoracolumbar
63265,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; cervical"
63266,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; thoracic"
63267,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; lumbar"
63268,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; sacral"
63270,"Laminectomy for excision of intraspinal lesion other than neoplasm, intradural; cervical"
63271,"Laminectomy for excision of intraspinal lesion other than neoplasm, intradural; thoracic"
63272,"Laminectomy for excision of intraspinal lesion other than neoplasm, intradural; lumbar"
63273,"Laminectomy for excision of intraspinal lesion other than neoplasm, intradural; sacral"
63275,"Laminectomy for biopsy/excision of intraspinal neoplasm; extradural, cervical"
63276,"Laminectomy for biopsy/excision of intraspinal neoplasm; extradural, thoracic"
63277,"Laminectomy for biopsy/excision of intraspinal neoplasm; extradural, lumbar"
63278,"Laminectomy for biopsy/excision of intraspinal neoplasm; extradural, sacral"
63280,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, extramedullary, cervical"
63281,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, extramedullary, thoracic"
63282,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, extramedullary, lumbar"
63283,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, sacral"
63285,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, intramedullary, cervical"
63286,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, intramedullary, thoracic"
63287,"Laminectomy for biopsy/excision of intraspinal neoplasm; intradural, intramedullary, thoracolumbar"
63290,"Laminectomy for biopsy/excision of intraspinal neoplasm; combined extradural-intradural lesion, any level"
63295,"Osteoplastic reconstruction of dorsal spinal elements, following primary intraspinal procedure (List separately in addition to code for primary procedure)"
63300,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, cervical"
63301,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, thoracic by transthoracic approach"
63302,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, thoracic by thoracolumbar approach"
63303,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, lumbar or sacral by transperitoneal or retroperitoneal approach"
63304,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, cervical"
63305,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, thoracic by transthoracic approach"
63307,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, lumbar or sacral by transperitoneal or retroperitoneal approach"
63308,"Vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; each additional segment (List separately in addition to codes for single segment)"
63600,"Creation of lesion of spinal cord by stereotactic method, percutaneous, any modality (including stimulation and/or recording)"
63610,"Stereotactic stimulation of spinal cord, percutaneous, separate procedure not followed by other surgery"
63620,"Stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 spinal lesion"
63650,"Percutaneous implantation of neurostimulator electrode array, epidural"
63655,"Laminectomy for implantation of neurostimulator electrodes, plate/paddle, epidural"
63660,Revision or removal of spinal neurostimulator electrode percutaneous array(s) or plate/paddle(s)
63661,"Removal of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed"
63662,"Removal of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed"
63663,"Revision including replacement, when performed, of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed"
63664,"Revision including replacement, when performed, of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed"
63685,"Insertion or replacement of spinal neurostimulator pulse generator or receiver, direct or inductive coupling"
63688,Revision or removal of implanted spinal neurostimulator pulse generator or receiver
63690,"Electronic analysis of implanted neurostimulator pulse generator system (may include rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance mea"
63691,"Electronic analysis of implanted neurostimulator pulse generator system (may include rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance mea"
63700,Repair of meningocele; less than 5 cm diameter
63702,Repair of meningocele; larger than 5 cm diameter
63704,Repair of myelomeningocele; less than 5 cm diameter
63706,Repair of myelomeningocele; larger than 5 cm diameter
63707,"Repair of dural/cerebrospinal fluid leak, not requiring laminectomy"
63709,"Repair of dural/cerebrospinal fluid leak or pseudomeningocele, with laminectomy"
63710,"Dural graft, spinal"
63740,"Creation of shunt, lumbar, subarachnoid-peritoneal, -pleural, or other; including laminectomy"
63741,"Creation of shunt, lumbar, subarachnoid-peritoneal, -pleural, or other; percutaneous, not requiring laminectomy"
63744,"Replacement, irrigation or revision of lumbosubarachnoid shunt"
63746,Removal of entire lumbosubarachnoid shunt system without replacement
64435,"Injection, anesthetic agent; paracervical (uterine) nerve"
64440,"Injection, anesthetic agent; paravertebral nerve (thoracic, lumbar, sacral, coccygeal), single vertebral level."
64441,"Injection, anesthetic agent; paravertebral nerves, multiple levels (eg, regional block)."
64443,"Injection, anesthetic agent; paravertebral facet joint nerve, lumbar, each additional level."
64449,"Injection, anesthetic agent; lumbar plexus, posterior approach, continuous infusion by catheter (including catheter placement)"
64461,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)"
64462,"Paravertebral block (PVB) (paraspinous block), thoracic; second and any additional injection site(s) (includes imaging guidance, when performed) (List separately in addition to code for primary procedure)"
64463,"Paravertebral block (PVB) (paraspinous block), thoracic; continuous infusion by catheter (includes imaging guidance, when performed)"
64470,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; cervical or thoracic, single level"
64472,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; cervical or thoracic, each additional level (List separately in addition to code for primary procedure)"
64475,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; lumbar or sacral, single level"
64476,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; lumbar or sacral, each additional level (List separately in addition to code for primary procedure)"
64479,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); cervical or thoracic, single level"
64480,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); cervical or thoracic, each additional level (List separately in addition to code for primary procedure)"
64483,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); lumbar or sacral, single level"
64484,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance (fluoroscopy or CT); lumbar or sacral, each additional level (List separately in addition to code for primary procedure)"
64490,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), cervical or thoracic; single level"
64491,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), cervical or thoracic; second level (List separately in addition to code for primary proced"
64492,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), cervical or thoracic; third and any additional level(s) (List separately in addition to co"
64493,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; single level"
64494,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; second level (List separately in addition to code for primary procedure)"
64495,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; third and any additional level(s) (List separately in addition to code f"
64510,"Injection, anesthetic agent; stellate ganglion (cervical sympathetic)"
64520,"Injection, anesthetic agent; lumbar or thoracic (paravertebral sympathetic)"
64550,"Application of surface (transcutaneous) neurostimulator (eg, TENS unit)"
64553,Percutaneous implantation of neurostimulator electrode array; cranial nerve
64555,Percutaneous implantation of neurostimulator electrode array; peripheral nerve (excludes sacral nerve)
64561,"Percutaneous implantation of neurostimulator electrode array; sacral nerve (transforaminal placement) including image guidance, if performed"
64565,Percutaneous implantation of neurostimulator electrode array; neuromuscular
64568,"Incision for implantation of cranial nerve (eg, vagus nerve) neurostimulator electrode array and pulse generator"
64569,"Revision or replacement of cranial nerve (eg, vagus nerve) neurostimulator electrode array, including connection to existing pulse generator"
64570,"Removal of cranial nerve (eg, vagus nerve) neurostimulator electrode array and pulse generator"
64573,Incision for implantation of neurostimulator electrodes; cranial nerve
64575,Incision for implantation of neurostimulator electrode array; peripheral nerve (excludes sacral nerve)
64577,Incision for implantation of neurostimulator electrodes; autonomic nerve
64580,Incision for implantation of neurostimulator electrode array; neuromuscular
64581,Incision for implantation of neurostimulator electrode array; sacral nerve (transforaminal placement)
64585,Revision or removal of peripheral neurostimulator electrode array
64615,"Chemodenervation of muscle(s); muscle(s) innervated by facial, trigeminal, cervical spinal and accessory nerves, bilateral (eg, for chronic migraine)"
64616,"Chemodenervation of muscle(s); neck muscle(s), excluding muscles of the larynx, unilateral (eg, for cervical dystonia, spasmodic torticollis)"
64622,"Destruction by neurolytic agent, paravertebral facet joint nerve; lumbar or sacral, single level"
64623,"Destruction by neurolytic agent, paravertebral facet joint nerve; lumbar or sacral, each additional level (List separately in addition to code for primary procedure)"
64626,"Destruction by neurolytic agent, paravertebral facet joint nerve; cervical or thoracic, single level"
64627,"Destruction by neurolytic agent, paravertebral facet joint nerve; cervical or thoracic, each additional level (List separately in addition to code for primary procedure)"
64633,"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); cervical or thoracic, single facet joint"
64634,"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); cervical or thoracic, each additional facet joint (List separately in addition to code for primary procedure)"
64635,"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); lumbar or sacral, single facet joint"
64636,"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); lumbar or sacral, each additional facet joint (List separately in addition to code for primary procedure)"
64714,"Neuroplasty, major peripheral nerve, arm or leg, open; lumbar plexus"
64716,Neuroplasty and/or transposition; cranial nerve (specify)
64752,"Transection or avulsion of; vagus nerve (vagotomy), transthoracic"
64755,"Transection or avulsion of; vagus nerves limited to proximal stomach (selective proximal vagotomy, proximal gastric vagotomy, parietal cell vagotomy, supra- or highly selective vagotomy)"
64760,"Transection or avulsion of; vagus nerve (vagotomy), abdominal"
64771,"Transection or avulsion of other cranial nerve, extradural"
64772,"Transection or avulsion of other spinal nerve, extradural"
64802,"Sympathectomy, cervical"
64804,"Sympathectomy, cervicothoracic"
64809,"Sympathectomy, thoracolumbar"
64818,"Sympathectomy, lumbar"
69990,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)"
