level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y,superior_vert_inferior_pedicle_x,superior_vert_inferior_pedicle_y,superior_lamina_y,superior_lateral_tp_x,inferior_lamina_y,inferior_pedicle_x,inferior_pedicle_y
Occiput,1,implant,occipital_screw,left,0.499,0.905,0.5,0.75,90,,,,,,,,,,,,
Occiput,1,implant,occipital_screw,right,0.501,0.915,0.5,0.75,90,,,,,,,,,,,,
C1,2,implant,lateral_mass_screw,left,0.475,0.88,0.5,0.75,75,,,,,,,,,,,,
C1,2,implant,translaminar_screw,left,0.49,0.885,1,0.75,-15,,,,,,,,,,,,
C1,2,implant,laminar_downgoing_hook,left,0.489,0.89,,,,,,,,,,,,,,,
C1,2,implant,laminar_upgoing_hook,left,0.489,0.877,,,,,,,,,,,,,,,
C1,2,implant,lateral_mass_screw,right,0.525,0.88,0.5,0.75,75,,,,,,,,,,,,
C1,2,implant,translaminar_screw,right,0.51,0.885,1,0.75,-15,,,,,,,,,,,,
C1,2,implant,laminar_downgoing_hook,right,0.511,0.89,,,,,,,,,,,,,,,
C1,2,implant,laminar_upgoing_hook,right,0.511,0.877,,,,,,,,,,,,,,,
C1,2,implant,tether,right,0.5,0.885,0.017,,,,,,,,,,,,,,
C1,2,implant,sublaminar_wire,right,0.515,0.889,0.01,,,,,,,,,,,,,,
C1,2,implant,sublaminar_wire,left,0.485,0.889,0.01,,,,,,,,,,,,,,
C2,3,implant,pedicle_screw,left,0.475,0.866,0.8,0.75,20,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pars_screw,left,0.481,0.863,0.5,0.75,70,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,translaminar_screw,left,0.49,0.869,1,0.75,-15,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_downgoing_hook,left,0.489,0.874,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_upgoing_hook,left,0.489,0.858,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pedicle_screw,right,0.525,0.866,0.8,0.75,20,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pars_screw,right,0.519,0.863,0.5,0.75,70,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,translaminar_screw,right,0.51,0.869,1,0.75,-15,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_downgoing_hook,right,0.511,0.874,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_upgoing_hook,right,0.511,0.858,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,tether,right,0.5,0.868,0.021,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,sublaminar_wire,right,0.515,0.873,0.012,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,sublaminar_wire,left,0.485,0.873,0.012,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C3,4,implant,pedicle_screw,left,0.475,0.848,0.8,0.75,10,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,lateral_mass_screw,left,0.481,0.847,0.5,0.75,120,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,translaminar_screw,left,0.49,0.849,1,0.75,-15,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,laminar_downgoing_hook,left,0.489,0.853,,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,laminar_upgoing_hook,left,0.489,0.839,,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,pedicle_screw,right,0.525,0.848,0.8,0.75,10,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,lateral_mass_screw,right,0.519,0.847,0.5,0.75,120,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,translaminar_screw,right,0.51,0.849,1,0.75,-15,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,laminar_downgoing_hook,right,0.511,0.853,,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,laminar_upgoing_hook,right,0.511,0.839,,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,tether,right,0.5,0.847,0.02,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,sublaminar_wire,right,0.515,0.853,0.011,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C3,4,implant,sublaminar_wire,left,0.485,0.853,0.011,,,,,,,,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C4,5,implant,pedicle_screw,left,0.475,0.831,0.8,0.75,5,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,lateral_mass_screw,left,0.481,0.828,0.5,0.75,120,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,translaminar_screw,left,0.49,0.829,1,0.75,-15,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,laminar_downgoing_hook,left,0.489,0.836,,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,laminar_upgoing_hook,left,0.489,0.82,,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,pedicle_screw,right,0.525,0.831,0.8,0.75,5,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,lateral_mass_screw,right,0.519,0.828,0.5,0.75,120,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,translaminar_screw,right,0.51,0.829,1,0.75,-15,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,laminar_downgoing_hook,right,0.511,0.836,,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,laminar_upgoing_hook,right,0.511,0.82,,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,tether,right,0.5,0.827,0.018,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,sublaminar_wire,right,0.515,0.835,0.013,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C4,5,implant,sublaminar_wire,left,0.485,0.835,0.013,,,,,,,,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C5,6,implant,pedicle_screw,left,0.475,0.813,0.8,0.75,0,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,lateral_mass_screw,left,0.481,0.81,0.5,0.75,120,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,translaminar_screw,left,0.49,0.81,1,0.75,-15,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,laminar_downgoing_hook,left,0.489,0.818,,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,laminar_upgoing_hook,left,0.489,0.803,,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,pedicle_screw,right,0.525,0.813,0.8,0.75,0,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,lateral_mass_screw,right,0.519,0.81,0.5,0.75,120,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,translaminar_screw,right,0.51,0.81,1,0.75,-15,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,laminar_downgoing_hook,right,0.511,0.818,,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,laminar_upgoing_hook,right,0.511,0.803,,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,tether,right,0.5,0.809,0.017,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,sublaminar_wire,right,0.515,0.816,0.012,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C5,6,implant,sublaminar_wire,left,0.485,0.816,0.012,,,,,,,,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C6,7,implant,pedicle_screw,left,0.475,0.795,0.8,0.75,-5,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,lateral_mass_screw,left,0.482,0.793,0.5,0.75,120,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,translaminar_screw,left,0.49,0.792,1,0.75,-15,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,laminar_downgoing_hook,left,0.489,0.8,,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,laminar_upgoing_hook,left,0.489,0.785,,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,pedicle_screw,right,0.525,0.795,0.8,0.75,-5,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,lateral_mass_screw,right,0.518,0.793,0.5,0.75,120,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,translaminar_screw,right,0.51,0.792,1,0.75,-15,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,laminar_downgoing_hook,right,0.511,0.8,,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,laminar_upgoing_hook,right,0.511,0.785,,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,tether,right,0.5,0.792,0.018,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,sublaminar_wire,right,0.515,0.797,0.011,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C6,7,implant,sublaminar_wire,left,0.485,0.797,0.011,,,,,,,,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C7,8,implant,pedicle_screw,left,0.475,0.78,0.8,0.75,-10,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,lateral_mass_screw,left,0.482,0.775,0.5,0.75,120,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,translaminar_screw,left,0.49,0.773,1,0.75,-15,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,laminar_downgoing_hook,left,0.489,0.783,,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,laminar_upgoing_hook,left,0.489,0.759,,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,pedicle_screw,right,0.525,0.78,0.8,0.75,-10,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,lateral_mass_screw,right,0.518,0.775,0.5,0.75,120,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,translaminar_screw,right,0.51,0.773,1,0.75,-15,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,laminar_downgoing_hook,right,0.511,0.783,,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,laminar_upgoing_hook,right,0.511,0.759,,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,tether,right,0.5,0.774,0.026,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,sublaminar_wire,right,0.515,0.779,0.016,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
C7,8,implant,sublaminar_wire,left,0.485,0.779,0.016,,,,,,,,0.475,0.793,0.781,0.46,0.766,0.48,0.769
T1,9,implant,pedicle_screw,left,0.475,0.754,0.8,0.75,-14,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,translaminar_screw,left,0.49,0.749,1,0.75,-15,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,laminar_downgoing_hook,left,0.489,0.757,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,laminar_upgoing_hook,left,0.489,0.733,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,tp_hook,left,0.476,0.762,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,pedicle_screw,right,0.525,0.754,0.8,0.75,-14,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,translaminar_screw,right,0.51,0.749,1,0.75,-15,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,laminar_downgoing_hook,right,0.511,0.757,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,laminar_upgoing_hook,right,0.511,0.733,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,tp_hook,right,0.524,0.762,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,tether,right,0.5,0.748,0.027,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,sublaminar_wire,right,0.515,0.756,0.019,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,sublaminar_wire,left,0.485,0.756,0.019,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,pedicle_hook,left,0.475,0.754,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T1,9,implant,pedicle_hook,right,0.525,0.754,,,,,,,,,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T2,10,implant,pedicle_screw,left,0.475,0.73,0.8,0.75,-15,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,translaminar_screw,left,0.49,0.725,1,0.75,-15,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,laminar_downgoing_hook,left,0.489,0.735,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,laminar_upgoing_hook,left,0.489,0.709,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,tp_hook,left,0.476,0.74,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,pedicle_screw,right,0.525,0.73,0.8,0.75,-15,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,translaminar_screw,right,0.51,0.725,1,0.75,-15,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,laminar_downgoing_hook,right,0.511,0.735,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,laminar_upgoing_hook,right,0.511,0.709,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,tp_hook,right,0.524,0.74,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,tether,right,0.5,0.721,0.031,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,sublaminar_wire,right,0.515,0.732,0.019,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,sublaminar_wire,left,0.485,0.732,0.019,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,pedicle_hook,left,0.475,0.73,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T2,10,implant,pedicle_hook,right,0.525,0.73,,,,,,,,,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T3,11,implant,pedicle_screw,left,0.475,0.709,0.8,0.75,-14,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,translaminar_screw,left,0.49,0.701,1,0.75,-15,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,laminar_downgoing_hook,left,0.489,0.711,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,laminar_upgoing_hook,left,0.489,0.683,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,tp_hook,left,0.476,0.716,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,pedicle_screw,right,0.525,0.709,0.8,0.75,-14,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,translaminar_screw,right,0.51,0.701,1,0.75,-15,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,laminar_downgoing_hook,right,0.511,0.711,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,laminar_upgoing_hook,right,0.511,0.683,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,tp_hook,right,0.524,0.716,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,tether,right,0.5,0.69,0.027,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,sublaminar_wire,right,0.515,0.71,0.023,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,sublaminar_wire,left,0.485,0.71,0.023,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,pedicle_hook,left,0.475,0.709,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T3,11,implant,pedicle_hook,right,0.525,0.709,,,,,,,,,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T4,12,implant,pedicle_screw,left,0.475,0.679,0.8,0.75,-12,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,translaminar_screw,left,0.49,0.671,1,0.75,-15,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,laminar_downgoing_hook,left,0.489,0.683,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,laminar_upgoing_hook,left,0.489,0.654,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,tp_hook,left,0.476,0.688,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,pedicle_screw,right,0.525,0.679,0.8,0.75,-12,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,translaminar_screw,right,0.51,0.671,1,0.75,-15,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,laminar_downgoing_hook,right,0.511,0.683,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,laminar_upgoing_hook,right,0.511,0.654,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,tp_hook,right,0.524,0.688,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,tether,right,0.5,0.663,0.036,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,sublaminar_wire,right,0.515,0.682,0.024,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,sublaminar_wire,left,0.485,0.682,0.024,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,pedicle_hook,left,0.475,0.679,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T4,12,implant,pedicle_hook,right,0.525,0.679,,,,,,,,,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T5,13,implant,pedicle_screw,left,0.475,0.653,0.8,1,-10,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,translaminar_screw,left,0.49,0.642,1,0.75,-15,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,laminar_downgoing_hook,left,0.489,0.655,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,laminar_upgoing_hook,left,0.489,0.625,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,tp_hook,left,0.476,0.66,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,pedicle_screw,right,0.525,0.653,0.8,1,-10,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,translaminar_screw,right,0.51,0.642,1,0.75,-15,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,laminar_downgoing_hook,right,0.511,0.655,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,laminar_upgoing_hook,right,0.511,0.625,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,tp_hook,right,0.524,0.66,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,tether,right,0.5,0.627,0.034,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,sublaminar_wire,right,0.515,0.657,0.028,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,sublaminar_wire,left,0.485,0.657,0.028,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,pedicle_hook,left,0.475,0.653,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T5,13,implant,pedicle_hook,right,0.525,0.653,,,,,,,,,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T6,14,implant,pedicle_screw,left,0.475,0.623,0.8,1,-8,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,translaminar_screw,left,0.49,0.61,1,0.75,-15,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,laminar_downgoing_hook,left,0.489,0.625,,,,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,laminar_upgoing_hook,left,0.489,0.591,,,,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,tp_hook,left,0.476,0.63,,,,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,pedicle_screw,right,0.525,0.623,0.8,1,-8,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T6,14,implant,translaminar_screw,right,0.51,0.61,1,0.75,-15,,,,,,0.48,0.643,0.625,0.46,0.596,0.48,0.613
